ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct
1789344358457,2026-09-14T00:05:58Z,29.15,61.6,1.5516,1432,76.74
1789345258457,2026-09-14T00:20:58Z,29.18,61.63,1.553,1432,76.74
1789346158457,2026-09-14T00:35:58Z,29.2,61.81,1.5475,1418,77.71
1789347058457,2026-09-14T00:50:58Z,29.19,62.07,1.5361,1438,76.32
1789347958259,2026-09-14T01:05:58Z,29.29,61.85,1.554,1430,76.81
1789348858259,2026-09-14T01:20:58Z,29.25,62.1,1.5402,1438,76.25
1789349758259,2026-09-14T01:35:58Z,29.32,61.96,1.5522,1432,76.67
1789350658259,2026-09-14T01:50:58Z,29.3,62.13,1.5434,1451,75.35
1789351558158,2026-09-14T02:05:58Z,29.31,62.47,1.5305,1444,75.83
1789352458158,2026-09-14T02:20:58Z,29.25,62.5,1.524,1438,76.18
1789353358158,2026-09-14T02:35:58Z,28.44,59.77,1.5601,1443,75.9
1789354258158,2026-09-14T02:50:58Z,27.94,55.96,1.6589,1443,75.97
